binding_key,canonical_field_key,packet_field_key,target_section_key,target_field_key,requiredness,status,transform
dust_sf_disturbed_acres,project.site.disturbed_acres,applicability.disturbed_acres,applicability,disturbed_acres,required,mapped,decimal_acres
dust_sf_sensitive_receptors,project.site.sensitive_receptors_within_1000ft,applicability.sensitive_receptors_within_1000ft,applicability,sensitive_receptors_within_1000ft,required,mapped,boolean
dust_sf_plan_required_computed,project.programs.dust_control.plan_required,applicability.plan_required,applicability,plan_required,computed,mapped,computed_boolean
dust_sf_approved_plan_uploaded,project.programs.dust_control.approved_plan_uploaded,approved_plan_reference.approved_plan_uploaded,approved_plan_reference,approved_plan_uploaded,required_when_plan_required,mapped,document_vault_reference
dust_sf_plan_revision,project.programs.dust_control.plan_revision,approved_plan_reference.plan_revision,approved_plan_reference,plan_revision,optional,mapped,string_version
dust_sf_watering,run.controls.watering,controls.watering,controls,watering,required,mapped,boolean_with_frequency_note
dust_sf_trackout,run.controls.trackout,controls.trackout,controls,trackout,required,mapped,boolean_with_notes
dust_sf_stockpile_covering,run.controls.stockpile_covering,controls.stockpile_covering,controls,stockpile_covering,required,mapped,boolean_with_notes
dust_sf_stop_work_if_needed,run.controls.stop_work_if_needed,controls.stop_work_if_needed,controls,stop_work_if_needed,required,mapped,boolean
dust_sf_visible_dust,run.receptor_observations.visible_dust,receptor_observations.visible_dust,receptor_observations,visible_dust,required,mapped,boolean_with_description
dust_sf_complaints_received,run.receptor_observations.complaints_received,receptor_observations.complaints_received,receptor_observations,complaints_received,required,mapped,boolean_with_narrative
dust_sf_article_22b_source_url,program.dust_control.regulatory_basis_url,applicability.regulatory_basis_url,applicability,regulatory_basis_url,informational,unresolved,unresolved
dust_sf_monitoring_form_format,run.monitoring_form_format,monitoring.form_format,monitoring,form_format,unknown,unresolved,unresolved
