binding_key,canonical_field_key,packet_field_key,target_section_key,target_field_key,requiredness,status,transform
sf_cover_form_reference,run.jurisdiction_requirements.cover_form_reference,jurisdiction_requirements.cover_form_reference,jurisdiction_requirements,cover_form_reference,required,mapped,document_vault_reference
sf_recognized_agency_reference,run.jurisdiction_requirements.recognized_agency_reference,jurisdiction_requirements.recognized_agency_reference,jurisdiction_requirements,recognized_agency_reference,required,mapped,lookup_from_approved_agencies_list
sf_coi_requirement_if_applicable,run.jurisdiction_requirements.coi_requirement_if_applicable,jurisdiction_requirements.coi_requirement_if_applicable,jurisdiction_requirements,coi_requirement_if_applicable,required_when_sf,mapped,boolean_flag_from_jurisdiction
sf_report_system_or_trade,run.inspection_events.system_or_trade,inspection_events.system_or_trade,inspection_events,system_or_trade,required,mapped,string_or_enum
sf_report_location,run.inspection_events.location,inspection_events.location,inspection_events,location,required,mapped,string
sf_report_finding_summary,run.inspection_events.finding_summary,inspection_events.finding_summary,inspection_events,finding_summary,required,mapped,text
sf_ncr_flag,run.nonconformance.ncr_flag,nonconformance.ncr_flag,nonconformance,ncr_flag,required,mapped,boolean
sf_ncr_description,run.nonconformance.ncr_description,nonconformance.ncr_description,nonconformance,ncr_description,conditional_on_ncr_flag,mapped,text
sf_issue_creation,run.nonconformance.issue_creation,nonconformance.issue_creation,nonconformance,issue_creation,conditional_on_ncr_flag,mapped,issue_reference
sf_distributed_to_owner,run.distribution.distributed_to_owner,distribution.distributed_to_owner,distribution,distributed_to_owner,required,mapped,boolean
sf_distributed_to_engineer,run.distribution.distributed_to_engineer,distribution.distributed_to_engineer,distribution,distributed_to_engineer,required,mapped,boolean
sf_distributed_to_ahj,run.distribution.distributed_to_ahj_if_required,distribution.distributed_to_ahj_if_required,distribution,distributed_to_ahj_if_required,conditional_on_ncr,mapped,boolean
sf_inspector_signature,run.signature_footer.inspector_signature,signature_footer.inspector_signature,signature_footer,inspector_signature,required,mapped,digital_signature_or_name_string
sf_coi_footer_text,run.signature_footer.coi_footer_if_sf,signature_footer.coi_footer_if_sf,signature_footer,coi_footer_if_sf,required_when_sf,mapped,static_text_injection_sf_jurisdiction
sf_coi_attestation_exact_text,run.signature_footer.coi_attestation_verbatim_text,signature_footer.coi_attestation_verbatim_text,signature_footer,coi_attestation_verbatim_text,required,unresolved,unresolved
