binding_key,canonical_field_key,packet_field_key,target_section_key,target_field_key,requiredness,status,transform
pre_qpe_forecast_source_name,run.forecast.source_name,forecast.forecast_source_name,forecast,forecast_source_name,required,mapped,string
pre_qpe_forecast_issued_at,run.forecast.issued_at,forecast.forecast_issued_at,forecast,forecast_issued_at,required,mapped,iso8601_datetime
pre_qpe_qualifying_event_window,run.forecast.qualifying_event_window,forecast.qualifying_event_window,forecast,qualifying_event_window,required,mapped,string_or_structured_window
pre_qpe_materials_secured,run.storm_readiness.materials_secured,storm_readiness.materials_secured,storm_readiness,materials_secured,required,mapped,boolean_with_comment
pre_qpe_drain_inlets_protected,run.storm_readiness.drain_inlets_protected,storm_readiness.drain_inlets_protected,storm_readiness,drain_inlets_protected,required,mapped,boolean_with_comment
pre_qpe_stockpiles_protected,run.storm_readiness.stockpiles_protected,storm_readiness.stockpiles_protected,storm_readiness,stockpiles_protected,required,mapped,boolean_with_comment
pre_qpe_perimeter_verified,run.bmp_preparation.perimeter_verified,bmp_preparation.perimeter_verified,bmp_preparation,perimeter_verified,required,mapped,boolean_with_comment
pre_qpe_stabilization_verified,run.bmp_preparation.stabilization_verified,bmp_preparation.stabilization_verified,bmp_preparation,stabilization_verified,required,mapped,boolean_with_comment
pre_qpe_overview_photos,run.photos.pre_storm_overview_photos,photos.pre_storm_overview_photos,photos,pre_storm_overview_photos,required,mapped,photo_attachment_list
during_qpe_all_fields,run.during_qpe.*,during_qpe.*,during_qpe,all,unknown,unresolved,unresolved
post_qpe_all_fields,run.post_qpe.*,post_qpe.*,post_qpe,all,unknown,unresolved,unresolved
qpe_inspector_qualifications,run.inspector.qsp_qualified,signoff.inspector_qsp_cert,signoff,inspector_qsp_cert,required,unresolved,unresolved
