binding_key,canonical_field_key,packet_field_key,target_section_key,target_field_key,requiredness,status,transform
weekly_weather_summary,run.weather_summary,site_conditions.weather_summary,site_conditions,weather_summary,required,mapped,pass_through
weekly_active_disturbance_areas,run.site.active_disturbance_areas,site_conditions.active_disturbance_areas,site_conditions,active_disturbance_areas,required,mapped,text_or_structured_list
weekly_runoff_risk,run.site.runoff_risk,site_conditions.runoff_risk,site_conditions,runoff_risk,required,mapped,enum_low_medium_high
weekly_stabilized_entrance,run.bmp.stabilized_entrance,bmp_controls.stabilized_entrance,bmp_controls,stabilized_entrance,required,mapped,pass_fail_with_notes
weekly_perimeter_control,run.bmp.perimeter_control,bmp_controls.perimeter_control,bmp_controls,perimeter_control,required,mapped,pass_fail_with_notes
weekly_sediment_control,run.bmp.sediment_control,bmp_controls.sediment_control,bmp_controls,sediment_control,required,mapped,pass_fail_with_notes
weekly_good_housekeeping,run.bmp.good_housekeeping,bmp_controls.good_housekeeping,bmp_controls,good_housekeeping,required,mapped,pass_fail_with_notes
weekly_swppp_onsite,run.docs.swppp_onsite,documentation_presence.swppp_onsite,documentation_presence,swppp_onsite,required,mapped,boolean_with_comment
weekly_wdid_posted,run.docs.wdid_posted,documentation_presence.wdid_posted,documentation_presence,wdid_posted,required,mapped,boolean_with_comment
weekly_training_roster_current,run.docs.training_roster_current,documentation_presence.training_roster_current,documentation_presence,training_roster_current,required,mapped,boolean_with_comment
weekly_failed_items_issue,run.deficiencies.failed_items_issue_creation,deficiencies.failed_items_issue_creation,deficiencies,failed_items_issue_creation,conditional_on_fail,mapped,issue_creation_reference
weekly_corrective_due_date,run.deficiencies.corrective_due_date,deficiencies.corrective_due_date,deficiencies,corrective_due_date,conditional_on_fail,mapped,iso8601_date
weekly_inspector_signature,run.signoff.inspector_signature,signoff.inspector_signature,signoff,inspector_signature,required,mapped,digital_signature_or_name_string
weekly_inspection_timestamp,run.signoff.inspection_timestamp,signoff.inspection_timestamp,signoff,inspection_timestamp,required,mapped,iso8601_datetime
weekly_bmp_item_detail_fields,run.bmp.item_level_detail,bmp_controls.item_detail_narrative,bmp_controls,item_detail_narrative,unknown,unresolved,unresolved
weekly_photo_attachment_metadata,run.photos.attachment_metadata,photos.attachment_metadata,photos,attachment_metadata,conditional_on_fail,unresolved,unresolved
